year,district,village,package,lon,lat,variety_a,variety_b,variety_c,variety_d,rank_variety_a,rank_variety_b,rank_variety_c,rank_variety_d,planting_date,season,crop,country,characteristic,best,worst,overall_vs_local,var_a,var_b,var_c,yield,best_yield,worst_yield,project,GDD,GDD_veg,GDD_flo,GDD_gra,maxDT_VEG,minDT_VEG,maxNT_VEG,minNT_VEG,SU_VEG,TR_VEG,DTR_VEG,maxDTR_VEG,sdDTR_VEG,MLDS_VEG,MLWS_VEG,R5mm_VEG,R10mm_VEG,R20mm_VEG,SDII_VEG,Rx1day_VEG,Rx5day_VEG,Rtotal_VEG,maxDT_FLO,minDT_FLO,maxNT_FLO,minNT_FLO,SU_FLO,TR_FLO,DTR_FLO,maxDTR_FLO,sdDTR_FLO,MLDS_FLO,MLWS_FLO,R5mm_FLO,R10mm_FLO,R20mm_FLO,SDII_FLO,Rx1day_FLO,Rx5day_FLO,Rtotal_FLO,maxDT_GRA,minDT_GRA,maxNT_GRA,minNT_GRA,SU_GRA,TR_GRA,DTR_GRA,maxDTR_GRA,sdDTR_GRA,MLDS_GRA,MLWS_GRA,R5mm_GRA,R10mm_GRA,R20mm_GRA,SDII_GRA,Rx1day_GRA,Rx5day_GRA,Rtotal_GRA,maxDT_FLO_acc,minDT_FLO_acc,maxNT_FLO_acc,minNT_FLO_acc,SU_FLO_acc,TR_FLO_acc,DTR_FLO_acc,maxDTR_FLO_acc,sdDTR_FLO_acc,MLDS_FLO_acc,MLWS_FLO_acc,R5mm_FLO_acc,R10mm_FLO_acc,R20mm_FLO_acc,SDII_FLO_acc,Rx1day_FLO_acc,Rx5day_FLO_acc,Rtotal_FLO_acc,maxDT_GRA_acc,minDT_GRA_acc,maxNT_GRA_acc,minNT_GRA_acc,SU_GRA_acc,TR_GRA_acc,DTR_GRA_acc,maxDTR_GRA_acc,sdDTR_GRA_acc,MLDS_GRA_acc,MLWS_GRA_acc,R5mm_GRA_acc,R10mm_GRA_acc,R20mm_GRA_acc,SDII_GRA_acc,Rx1day_GRA_acc,Rx5day_GRA_acc,Rtotal_GRA_acc,soil,xy,yx,planting_day
2014,Meket,Timtimat,1323,38.96492438461539,11.714642282051281,208253,210817B,222366,Assassa,4,2,3,1,16283,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Amhara,180,180,19,20,40.30265465935781,19.11129209083792,7.3261080657792395,4.113124510571666,76,0,22.407221643779256,34.66299138606103,7.177744961982934,31,7,17,6,7,2.423755741119385,39.62120056152344,93.73063945770264,436.27603340148926,40.5635199686766,40.292924823805805,6.64603758809712,5.721331245105727,18,0,34.238560210562966,34.67245888801881,0.23098339669352738,18,1,0,0,0,0,0,0,0,41.41389976507438,40.649119028974155,7.600974941268633,6.807165231010169,19,0,33.65750525491489,33.84195379796399,0.10875272502561469,10,1,3,0,0,0.744148055712382,6.854518890380859,6.854518890380859,17.859553337097168,40.5635199686766,19.11129209083792,7.3261080657792395,4.113124510571666,95,0,23.54506140101087,34.73539937353172,7.669161271358076,31,7,17,6,7,2.1703271302096363,39.62120056152344,93.73063945770264,440.57640743255615,41.41389976507438,19.11129209083792,7.600974941268633,4.113124510571666,115,0,24.473827868499114,34.73539937353172,7.872456028089401,31,7,21,6,7,2.054741769110054,39.62120056152344,93.73063945770264,466.4263815879822,Haplic Nitisols,50.679566666666666,27.250282102564107,213
2014,Meket,Agrit,1257,38.69750823,11.81837642,210812A,222854,238573,Assassa,3,2,4,1,16283,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Amhara,180,180,19,19,36.98697729052457,23.058809710258423,7.984330462020385,6.190070477682118,31,0,19.39435913869358,29.002646828504187,3.3837131673657597,41,4,10,10,8,2.455292202366723,37.46383285522461,78.91906356811523,441.95259642601013,39.028042286609264,37.284557556773734,8.915035238841076,8.061331245105759,18,0,29.65677281823717,30.113007047768185,0.3098074734470403,18,1,0,0,0,0,0,0,0,41.99027407987466,39.20931088488644,9.630007830853593,9.066092404072053,18,0,30.865949273470772,32.360266249021066,0.7099868571868634,10,1,2,0,0,0.7283425331115723,7.511955261230469,7.511955261230469,17.480220794677734,39.028042286609264,23.058809710258423,8.915035238841076,6.190070477682118,50,0,20.37674313613818,30.113007047768185,4.415066855419122,41,4,11,10,8,2.206192569779645,37.46383285522461,78.91906356811523,447.85709166526794,41.99027407987466,23.058809710258423,9.630007830853593,6.190070477682118,69,0,21.29175272185311,32.360266249021066,5.1561198802230335,41,4,14,10,8,2.0775632721737094,37.46383285522461,78.91906356811523,471.606862783432,Haplic Nitisols,50.51588465,26.879131809999997,213
2014,Lume,Tikurgebru,62,39.27525,8.761555556,5634,5588,8034,Hetosa,4,1,2,3,16273,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Oromia,180,166,18,18,36.759099451840186,26.035426781519217,11.46589663273307,7.331597494126904,64,0,20.019498872831672,27.026342991385974,3.204857132629443,83,4,7,6,6,2.138451321919759,37.025482177734375,65.567657470703125,384.92123794555664,39.90010963194983,37.084956930305424,10.253046202036026,9.761902897415842,17,0,28.47219540282827,29.647063429913807,0.7537220391552878,14,1,0,0,0,0.1298043624214504,2.9855003356933594,2.9855003356933594,2.9855003356933594,41.37482380579487,40.11662490211435,10.816045418950722,10.298363351605344,17,0,30.283231839329286,30.558778386844146,0.22443731065715566,17,1,0,0,0,0,0,0,0,39.90010963194983,26.035426781519217,11.46589663273307,7.331597494126904,82,0,20.8438775348644,29.647063429913807,3.9468625062995693,83,4,7,6,6,1.9108706319273399,37.025482177734375,65.567657470703125,387.90673828125,41.37482380579487,26.035426781519217,11.46589663273307,7.331597494126904,100,0,21.686453694721365,30.558778386844146,4.629789016714488,83,4,7,6,6,1.7088402567455947,37.025482177734375,65.567657470703125,387.90673828125,Humic Nitisols,48.036805556,30.513694444000002,203
2014,Gimbichu,Habru meti,75,39.09227778,8.94525,222372,203940,5634,Hetosa,3,4,2,1,16294,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Oromia,180,180,16,17,40.411209866875446,22.212114330462065,9.557204385278004,6.675097885669556,76,0,21.839158817584835,30.85400548159744,4.999465232685233,119,4,15,5,0,1.2914239830440946,15.632893562316895,38.3441743850708,232.456316947937,42.142337509788554,40.63779561472204,10.414126859827718,9.6579091620987,15,0,31.399023753589134,31.728210649960836,0.2551178580795405,7,1,2,0,0,0.8126939897951873,7.90504264831543,13.794921875,18.691961765289307,42.83974158183242,42.2782889584965,11.09350822239626,10.52490211433049,16,0,31.778622259201246,31.799252153484737,0.01640983499503766,7,1,2,0,0,0.6307824651400248,9.727702140808105,15.138779163360596,15.138779163360596,42.142337509788554,22.212114330462065,10.414126859827718,6.675097885669556,92,0,22.62108579804427,31.728210649960836,5.460262223554846,127,4,17,5,0,1.2371836389814104,15.632893562316895,38.3441743850708,251.14827871322632,42.83974158183242,22.212114330462065,11.09350822239626,6.675097885669556,109,0,23.355238139211867,31.799252153484737,5.798628301957239,127,4,19,5,0,1.1730707395444357,15.632893562316895,38.3441743850708,266.2870578765869,Eutric Cambisols,48.037527780000005,30.147027780000002,224
2014,Meket,Akat,1512,38.86721157894737,11.672521052631579,238119,222541,227061,Assassa,4,3,2,1,16283,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Amhara,180,180,19,20,39.45598277212206,19.312748629600478,6.786029757243552,4.330234925606932,46,0,21.587839012524963,33.37064996084561,4.730748378829754,42,5,12,11,6,2.5790490494834053,36.63764572143555,87.21950721740723,464.22882890701294,40.75703993735322,39.658629600626476,6.460023492560718,6.100806577917021,18,0,33.9091781954233,34.297016444792504,0.24309558623262592,18,1,0,0,0,0,0,0,0,43.242431480031264,40.928238057948334,7.375364134690701,6.560728269381384,19,0,34.89646787289285,35.867067345340566,0.4622387931294465,10,1,3,0,0,0.7402969002723694,6.828773498535156,6.828773498535156,17.767125606536865,40.75703993735322,19.312748629600478,6.786029757243552,4.330234925606932,65,0,22.768237207628335,34.297016444792504,5.781062618469549,42,5,12,11,6,2.3067721263528456,36.63764572143555,87.21950721740723,468.2747416496277,43.242431480031264,19.312748629600478,7.375364134690701,4.330234925606932,85,0,23.878330824825937,35.867067345340566,6.528064228512553,42,5,16,11,6,2.177526595834068,36.63764572143555,87.21950721740723,494.2985372543335,Haplic Nitisols,50.53973263157895,27.19469052631579,213
2014,Meket,Akat,1478,38.86721157894737,11.672521052631579,238119,222541,227061,Assassa,2,4,3,1,16283,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Amhara,180,180,19,20,39.45598277212206,19.312748629600478,6.786029757243552,4.330234925606932,46,0,21.587839012524963,33.37064996084561,4.730748378829754,42,5,12,11,6,2.5790490494834053,36.63764572143555,87.21950721740723,464.22882890701294,40.75703993735322,39.658629600626476,6.460023492560718,6.100806577917021,18,0,33.9091781954233,34.297016444792504,0.24309558623262592,18,1,0,0,0,0,0,0,0,43.242431480031264,40.928238057948334,7.375364134690701,6.560728269381384,19,0,34.89646787289285,35.867067345340566,0.4622387931294465,10,1,3,0,0,0.7402969002723694,6.828773498535156,6.828773498535156,17.767125606536865,40.75703993735322,19.312748629600478,6.786029757243552,4.330234925606932,65,0,22.768237207628335,34.297016444792504,5.781062618469549,42,5,12,11,6,2.3067721263528456,36.63764572143555,87.21950721740723,468.2747416496277,43.242431480031264,19.312748629600478,7.375364134690701,4.330234925606932,85,0,23.878330824825937,35.867067345340566,6.528064228512553,42,5,16,11,6,2.177526595834068,36.63764572143555,87.21950721740723,494.2985372543335,Haplic Nitisols,50.53973263157895,27.19469052631579,213
2015,Micheal Abi,Rasat,605,39.19833333,13.60138889,227542,228862,Assassa,8208,4,1,2,3,16648,Meher-15,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2015_Tigray,180,143,20,20,33.308108848864556,27.81299921691468,11.710771339076011,10.883108848864566,100,0,19.6640562442785,22.39437744714173,1.902840497406847,45,7,6,7,1,1.6135705868403116,37.803627014160156,88.51868629455566,290.4427056312561,36.00686765857473,33.46379013312452,10.901777603758832,10.756538762725198,19,0,23.792833944689395,25.105090054815896,0.8296913457777639,16,1,0,0,0,0.10184775228085725,2.342498302459717,2.342498302459717,2.342498302459717,40.707682067345374,36.33415818324202,11.24245105716525,10.957165231010212,19,0,27.227958620121104,29.465231010180126,1.3185029656077984,19,1,0,0,0,0,0,0,0,36.00686765857473,27.81299921691468,11.710771339076011,10.756538762725198,120,0,20.165755532353007,25.105090054815896,2.248585563782873,48,7,6,7,1,1.442291644993674,37.803627014160156,88.51868629455566,292.7852039337158,40.707682067345374,27.81299921691468,11.710771339076011,10.756538762725198,140,0,20.930904678719845,29.465231010180126,3.075617660893376,48,7,6,7,1,1.2898026605009507,37.803627014160156,88.51868629455566,292.7852039337158,Eutric Vertisols,52.79972222,25.596944439999994,213
2015,Melfa_Bowak,Bowak,527,39.14,13.64611111,238537,222434,6856B,Assassa,3,2,4,1,16648,Meher-15,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2015_Tigray,180,148,21,19,33.061624902114396,28.98331245105719,11.698794048551308,9.937764291307774,82,0,19.657754489423017,23.049447924823838,1.6904302484951295,48,7,8,5,3,1.7935330324702792,38.415157318115234,89.48103713989258,322.83594584465027,36.60216131558334,33.195203602192656,10.299036805011765,9.912137823022734,20,0,24.768319890367998,26.30312451057157,0.9548156875421819,20,1,0,0,0,0,0,0,0,42.284459671104216,36.95966327329684,10.894122944400953,10.349389193422112,18,0,28.694076611850633,31.39033672670326,1.5227864536211013,18,1,0,0,0,0,0,0,0,36.60216131558334,28.98331245105719,11.698794048551308,9.912137823022734,103,0,20.286988174478864,26.30312451057157,2.3248396760564063,48,7,8,5,3,1.5903248563775876,38.415157318115234,89.48103713989258,322.83594584465027,42.284459671104216,28.98331245105719,11.698794048551308,9.912137823022734,122,0,21.129219741288683,31.39033672670326,3.375812445887089,48,7,8,5,3,1.422184783456609,38.415157318115234,89.48103713989258,322.83594584465027,Eutric Cambisols,52.78611111,25.49388889,213
2013,Micheal Abi,Adi kunti,668,39.19722222,13.61333333,206551,208281,Assassa,8208,4,1,2,3,15918,Meher-13,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2013_Tigray,180,160,19,19,36.715019577133916,23.390912294440074,11.086969459671135,9.112067345340655,82,0,19.596679767339904,27.503104933437726,4.944168531891429,45,7,11,8,2,1.5867025242911446,35.2607536315918,79.89838790893555,285.606454372406,38.618707909162104,36.88621769772904,9.588394675019616,9.237090837901357,18,0,28.354599538849705,29.03031323414249,0.4456260569050268,18,1,0,0,0,0,0,0,0,40.42346906812842,38.83264682850432,10.22673453406423,9.64754111198125,18,0,29.799991734099,30.19673453406419,0.3183982598875591,18,1,0,0,0,0,0,0,0,38.618707909162104,23.390912294440074,11.086969459671135,9.112067345340655,101,0,20.52714039664591,29.03031323414249,5.397133686602957,64,7,11,8,2,1.4069283466620985,35.2607536315918,79.89838790893555,285.606454372406,40.42346906812842,23.390912294440074,11.086969459671135,9.112067345340655,120,0,21.417939929005538,30.19673453406419,5.812783352536577,83,7,11,8,2,1.2581782130942996,35.2607536315918,79.89838790893555,285.606454372406,Eutric Vertisols,52.810555550000004,25.58388889,213
2014,Meket,Akat,1492,38.86721157894737,11.672521052631579,238492A,238119,222541,Assassa,4,3,1,2,16283,Meher-14,durumwheat,ETH,Overall_performance-(A/B/C),NA,NA,Overall_performance_VS_Local-(Best/Worse),NA,NA,NA,Yield-(A/B/C),NA,NA,durumwheat_eth_2014_Amhara,180,180,19,20,39.45598277212206,19.312748629600478,6.786029757243552,4.330234925606932,46,0,21.587839012524963,33.37064996084561,4.730748378829754,42,5,12,11,6,2.5790490494834053,36.63764572143555,87.21950721740723,464.22882890701294,40.75703993735322,39.658629600626476,6.460023492560718,6.100806577917021,18,0,33.9091781954233,34.297016444792504,0.24309558623262592,18,1,0,0,0,0,0,0,0,43.242431480031264,40.928238057948334,7.375364134690701,6.560728269381384,19,0,34.89646787289285,35.867067345340566,0.4622387931294465,10,1,3,0,0,0.7402969002723694,6.828773498535156,6.828773498535156,17.767125606536865,40.75703993735322,19.312748629600478,6.786029757243552,4.330234925606932,65,0,22.768237207628335,34.297016444792504,5.781062618469549,42,5,12,11,6,2.3067721263528456,36.63764572143555,87.21950721740723,468.2747416496277,43.242431480031264,19.312748629600478,7.375364134690701,4.330234925606932,85,0,23.878330824825937,35.867067345340566,6.528064228512553,42,5,16,11,6,2.177526595834068,36.63764572143555,87.21950721740723,494.2985372543335,Haplic Nitisols,50.53973263157895,27.19469052631579,213
